name,playerId,teamId,teamName,age,height,weight,positionText,season
Jeffrey Gouweleeuw,97351,1730,Augsburg,35,188,83,Defender,2026_27
Joël Schmied,550581,282,FC Koln,27,188,84,Defender,2026_27
Marius Bülter,361419,282,FC Koln,33,188,85,Forward,2026_27
Otávio,557907,45,Eintracht Frankfurt,20,193,85,Defender,2026_27
Seol Young-Woo,477549,1730,Augsburg,27,183,72,Defender,2026_27
Patrice Covic,549133,42,Werder Bremen,19,182,68,Midfielder,2026_27
Leonidas Stergiou,401742,41,VfB Stuttgart,24,181,75,Defender,2026_27
Zeno Van den Bosch,410525,796,Union Berlin,23,191,78,Defender,2026_27
Chuki,506115,42,Werder Bremen,22,172,64,Midfielder,2026_27
Junior Adamu,418590,39,Schalke 04,25,183,79,Forward,2026_27
Mats Rots,475578,1211,Hoffenheim,20,185,70,Defender,2026_27
Timo Becker,323169,39,Schalke 04,29,190,86,Defender,2026_27
Bilal Nadir,422240,38,Hamburger SV,22,172,65,Midfielder,2026_27
Kevin Diks,232262,134,Borussia M.Gladbach,29,186,73,Defender,2026_27
Keisuke Goto,550709,50,Freiburg,21,191,70,Forward,2026_27
Joe Scally,363069,134,Borussia M.Gladbach,23,184,80,Defender,2026_27
Luca Schnellbacher,446542,1134,Elversberg,32,180,76,Midfielder,2026_27
Ko Itakura,369525,134,Borussia M.Gladbach,29,188,80,Defender,2026_27
Nathan De Cat,532302,1211,Hoffenheim,18,191,86,Midfielder,2026_27
Ramon Hendriks,422909,41,VfB Stuttgart,25,189,83,Defender,2026_27
Luca Sirch,485040,1134,Elversberg,27,186,80,Defender,2026_27
Tim Kleindienst,129368,134,Borussia M.Gladbach,31,195,85,Forward,2026_27
Daiki Hashioka,411101,134,Borussia M.Gladbach,27,184,73,Defender,2026_27
Johan Bakayoko,427824,7614,RB Leipzig,23,179,76,Forward,2026_27
Isac Lidberg,284451,134,Borussia M.Gladbach,27,187,84,Forward,2026_27
Jordan Torunarigha,332120,38,Hamburger SV,29,191,80,Defender,2026_27
Afonso Moreira,478033,36,Bayer Leverkusen,21,176,74,Forward,2026_27
Olivier Deman,407284,42,Werder Bremen,26,181,74,Defender,2026_27
Mertcan Ayhan,560433,39,Schalke 04,19,190,80,Defender,2026_27
Robin Gosens,141726,39,Schalke 04,32,183,80,Defender,2026_27
Mark Flekken,115131,36,Bayer Leverkusen,33,195,92,Goalkeeper,2026_27
Oscar Højlund,492867,45,Eintracht Frankfurt,21,184,76,Midfielder,2026_27
Deniz Undav,357091,41,VfB Stuttgart,30,179,86,Forward,2026_27
Kevin Stöger,104011,134,Borussia M.Gladbach,33,176,74,Midfielder,2026_27
Noah Darvich,534793,1134,Elversberg,19,184,73,Midfielder,2026_27
Dzenan Pejcinovic,444298,41,VfB Stuttgart,21,188,78,Forward,2026_27
Ermedin Demirovic,351339,41,VfB Stuttgart,28,185,84,Forward,2026_27
Junior Dina Ebimbe,372927,39,Schalke 04,25,183,80,Midfielder,2026_27
Maurice Krattenmacher,485137,1134,Elversberg,21,180,75,Midfielder,2026_27
Edin Dzeko,24845,39,Schalke 04,40,193,92,Forward,2026_27
Love Arrhov,605345,45,Eintracht Frankfurt,18,178,70,Midfielder,2026_27
Finn Jeltsch,507717,41,VfB Stuttgart,20,187,86,Defender,2026_27
Mick Schmetgens,552363,42,Werder Bremen,18,190,85,Defender,2026_27
Lucas Vázquez,144511,36,Bayer Leverkusen,35,173,70,Defender,2026_27
Fabian Bredlow,142529,41,VfB Stuttgart,31,190,87,Goalkeeper,2026_27
Philipp Sander,367534,134,Borussia M.Gladbach,28,186,77,Midfielder,2026_27
Max Moerstedt,517609,1211,Hoffenheim,20,194,77,Forward,2026_27
Mio Backhaus,436119,50,Freiburg,22,194,82,Goalkeeper,2026_27
Niclas Füllkrug,104058,42,Werder Bremen,33,189,83,Forward,2026_27
Ron Schallenberg,401089,39,Schalke 04,27,185,78,Midfielder,2026_27
Bilal El Khannouss,433572,41,VfB Stuttgart,22,180,70,Midfielder,2026_27
Matheo Raab,442501,796,Union Berlin,27,186,82,Goalkeeper,2026_27
Karl Hein,399501,42,Werder Bremen,24,193,86,Goalkeeper,2026_27
Samuele Inácio,565461,44,Borussia Dortmund,18,180,64,Forward,2026_27
Edmond Tapsoba,369446,36,Bayer Leverkusen,27,192,84,Defender,2026_27
Max Wöber,301024,39,Schalke 04,28,188,86,Defender,2026_27
