name,playerId,teamId,teamName,age,height,weight,positionText,season
Juan Carlos Arana,431570,56,Racing Santander,26,182,73,Forward,2026_27
Julián Alvarez,365409,63,Atletico Madrid,26,170,71,Forward,2026_27
Matteo Prati,447544,56,Racing Santander,22,185,73,Midfielder,2026_27
Iván Balliu,101613,64,Rayo Vallecano,34,172,63,Defender,2026_27
Jones El Abdellaoui,441888,62,Celta Vigo,20,184,72,Forward,2026_27
Carlos Álvarez,406937,832,Levante,23,167,75,Midfielder,2026_27
Pedro Bigas,108100,833,Elche,36,181,83,Defender,2026_27
Álvaro Djaló,444806,53,Athletic Club,27,175,73,Forward,2026_27
Diego Díaz,545956,56,Racing Santander,21,173,68,Midfielder,2026_27
Umaru,556141,833,Elche,22,0,0,Forward,2026_27
